name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
The Shining,R,0.8783783783783784,0.898939400134038,0.7449683464354199,0.7696253798806081,0.39903846153846156,13.73970992329606,115.41356335568692,long,Others,Stephen King,Others,Drama,United Kingdom,Warner Bros.,1
The Blue Lagoon,R,0.527027027027027,0.6166075091500453,0.6118432896963292,0.7841367122819378,0.19711538461538458,11.082157933374816,64.27651601357393,normal,Others,Others,Others,Adventure,United States,Columbia Pictures,1
Star Wars: Episode V - The Empire Strikes Back,PG,0.9189189189189187,0.9263617655189137,0.7399711967991446,0.9269454631526257,0.2932692307692307,13.997832948091215,121.78114664839356,long,Others,Others,Others,Action,United States,Others,1
Airplane!,PG,0.7837837837837837,0.7466172952399496,0.5886156200471969,0.8066689287083892,0.12019230769230771,12.30592250537653,94.75560329139928,short,Others,Others,Others,Comedy,United States,Paramount Pictures,1
Caddyshack,R,0.7297297297297296,0.6705483474710373,0.6384322308341582,0.7589742403776261,0.16826923076923078,11.58989576532275,84.60623908685606,normal,Others,Others,Others,Comedy,United States,Others,1
Friday the 13th,R,0.6081081081081081,0.6843647570712158,0.41757450515128547,0.7588255242536375,0.15384615384615385,11.719947764402807,75.00766569217797,normal,Others,Others,Others,Horror,United States,Paramount Pictures,1
The Blues Brothers,R,0.8108108108108109,0.7294365597759546,0.7774462100685081,0.8274845886803885,0.33653846153846156,12.144202560946876,95.93920023148031,long,Others,Others,Others,Action,United States,Universal Pictures,1
Raging Bull,R,0.8513513513513512,0.7892109642363258,0.7399711967991446,0.724638958689169,0.3173076923076923,12.706850963741102,104.19617790267704,long,Others,Others,Robert De Niro,Biography,United States,Others,0
Superman II,PG,0.6621621621621621,0.6634293599807556,0.8415101696104085,0.8234148704861723,0.3076923076923077,11.52288569676448,78.35562273799847,long,Others,Others,Others,Action,United States,Others,1
The Long Riders,R,0.6891891891891891,0.41776076526194195,0.6856451599423127,0.6992751704078257,0.17788461538461536,9.210440366976515,64.47308256883562,normal,Others,Others,Others,Biography,United States,Others,0
Any Which Way You Can,PG,0.5675675675675674,0.4802010765401975,0.7231201718424208,0.7959576146092227,0.2548076923076923,9.798182590890704,59.76891380443329,normal,Others,Others,Clint Eastwood,Action,United States,Others,1
The Gods Must Be Crazy,PG,0.7297297297297296,0.5969110523919509,0.6215812079313173,0.7407305266800888,0.22115384615384615,10.896757843893464,79.54633226042229,normal,Others,Others,Others,Adventure,Others,Others,1
Popeye,PG,0.45945945945945943,0.534467593659968,0.7497091165745452,0.7733903247989999,0.2451923076923077,10.308985993422082,54.63762576513703,normal,Others,Others,Robin Williams,Adventure,United States,Paramount Pictures,1
Ordinary People,R,0.7837837837837837,0.5865888116819079,0.6384322308341582,0.7794941962455015,0.2932692307692307,10.799595985047786,83.15688908486796,long,Others,Others,Others,Drama,United States,Paramount Pictures,1
Dressed to Kill,R,0.7027027027027026,0.5567471253106125,0.6458301576316748,0.7446220802865158,0.19711538461538458,10.518700218288163,74.68277154984597,normal,Brian De Palma,Others,Others,Crime,United States,Others,1
Somewhere in Time,PG,0.7162162162162161,0.5232747409531712,0.6234114606282458,0.6678818779303459,0.1923076923076923,10.203629181337648,73.46613010563107,normal,Others,Others,Others,Drama,United States,Others,0
9 to 5,PG,0.6756756756756757,0.5308660969743816,0.6856451599423127,0.8204338543127503,0.22115384615384615,10.275085591132717,70.89809057881574,normal,Others,Others,Others,Comedy,United States,Others,1
The Fog,R,0.6621621621621621,0.6182294636717077,0.472829370366873,0.719014904042671,0.125,11.097425172408933,75.46249117238072,short,Others,Others,Others,Horror,United States,Others,1
Cruising,R,0.6216216216216216,0.4913937325280403,0.6944541795198192,0.7139017691503944,0.1875,9.90353755128617,64.37299408336011,normal,Others,Others,Others,Crime,Others,Others,0
Heaven's Gate,R,0.6621621621621621,0.4535037261729734,0.8225820957250712,0.6017660772063382,0.75,9.546884034617923,64.91881143540189,long,Others,Others,Others,Adventure,United States,Others,0
The Final Countdown,PG,0.6486486486486486,0.5015187724635509,0.7024961843855658,0.7026669937149934,0.1923076923076923,9.99884318585288,66.9922493452143,normal,Others,Others,Others,Action,United States,Others,0
Xanadu,PG,0.45945945945945943,0.4371283956946741,0.7497091165745452,0.7228504115878622,0.15865384615384615,9.39274525863144,49.78154987074664,normal,Others,Others,Others,Fantasy,United States,Universal Pictures,0
Brubaker,R,0.7162162162162161,0.47412905216370305,0.6759072406803831,0.7544045933583847,0.32692307692307687,9.741027444837728,70.13539760283165,long,Others,Others,Others,Crime,United States,Twentieth Century Fox,1
American Gigolo,R,0.581081081081081,0.5015187724635509,0.6178082456879218,0.7227968288339257,0.2596153846153846,9.99884318585288,61.99282775228786,normal,Others,Others,Richard Gere,Crime,United States,Paramount Pictures,1
Cattle Annie and Little Britches,PG,0.5675675675675674,0.11974184188166248,0.6234114606282458,0.48085103907190957,0.16346153846153844,6.405228458030842,39.071893593988136,normal,Others,Others,Others,Drama,United States,Others,0
Private Benjamin,R,0.581081081081081,0.5107622481522179,0.6856451599423127,0.7951863524921783,0.22115384615384615,10.085850775128716,62.53227480579805,normal,Others,Others,Others,Comedy,United States,Warner Bros.,1
The Hollywood Knights,R,0.5945945945945945,0.32811350808110396,0.6009572235552868,0.6697832096916667,0.13461538461538458,8.366602832783736,52.709597846537534,normal,Others,Others,Others,Comedy,United States,Others,1
Motel Hell,R,0.5540540540540541,0.4278853223684982,0.574368284984811,0.640409620307814,0.1826923076923077,9.305741456739437,55.83444874043661,normal,Others,Others,Others,Comedy,United States,Others,1
The Stunt Man,R,0.7027027027027026,0.4065686993894363,0.5886156200471969,0.6473578148387269,0.32692307692307687,9.105090961257083,64.6461458249253,long,Others,Others,Others,Action,United States,Others,1
The Island,R,0.45945945945945943,0.3177431667737549,0.7585181365721639,0.6989543013805781,0.22115384615384615,8.268988209506656,43.82563751038528,normal,Others,Others,Others,Action,United States,Universal Pictures,0
The Nude Bomb,PG,0.43243243243243235,0.29336076151032753,0.7231201718424208,0.6944722846580715,0.1490384615384615,8.03947991910045,41.00134758741229,normal,Others,Others,Others,Action,United States,Universal Pictures,0
Stardust Memories,PG,0.7297297297297296,0.5015187724635509,0.6856451599423127,0.6722453499256473,0.125,9.99884318585288,72.99155525672603,short,Woody Allen,Woody Allen,Others,Comedy,United States,Others,0
Melvin and Howard,R,0.6621621621621621,0.33294222285120445,0.6526795680971326,0.6154751565953696,0.15384615384615385,8.412054873292933,57.20197313839194,normal,Others,Others,Others,Comedy,United States,Universal Pictures,0
Bronco Billy,PG,0.5675675675675674,0.4278853223684982,0.6458301576316748,0.7269759141902323,0.2548076923076923,9.305741456739437,56.76502288611055,normal,Clint Eastwood,Others,Clint Eastwood,Action,United States,Warner Bros.,1
When Time Ran Out...,PG,0.3648648648648648,0.2746811509277505,0.7497091165745452,0.6067434135940664,0.27884615384615385,7.8636512654486515,36.172795821063794,long,Others,Others,Others,Action,United States,Others,0
