name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit,cluster,cluster_label
The Shining,R,8.4,927000.0,19000000.0,46998772.0,146.0,13.73970992329606,115.41356335568692,long,Others,Stephen King,Others,Drama,United Kingdom,Warner Bros.,1,1,a high-budget success
The Blue Lagoon,R,5.8,65000.0,4500000.0,58853106.0,104.0,11.082157933374816,64.27651601357393,normal,Others,Others,Others,Adventure,United States,Columbia Pictures,1,0,a low-budget failure
Star Wars: Episode V - The Empire Strikes Back,PG,8.7,1200000.0,18000000.0,538375067.0,124.0,13.997832948091215,121.78114664839356,long,Others,Others,Others,Action,United States,Others,1,1,a high-budget success
Airplane!,PG,7.7,221000.0,3500000.0,83453539.0,88.0,12.30592250537653,94.75560329139928,short,Others,Others,Others,Comedy,United States,Paramount Pictures,1,0,a low-budget failure
Caddyshack,R,7.3,108000.0,6000000.0,39846344.0,98.0,11.58989576532275,84.60623908685606,normal,Others,Others,Others,Comedy,United States,Others,1,0,a low-budget failure
Friday the 13th,R,6.4,123000.0,550000.0,39754601.0,95.0,11.719947764402807,75.00766569217797,normal,Others,Others,Others,Horror,United States,Paramount Pictures,1,0,a low-budget failure
The Blues Brothers,R,7.9,188000.0,27000000.0,115229890.0,133.0,12.144202560946876,95.93920023148031,long,Others,Others,Others,Action,United States,Universal Pictures,1,1,a high-budget success
Raging Bull,R,8.2,330000.0,18000000.0,23402427.0,129.0,12.706850963741102,104.19617790267704,long,Martin Scorsese,Others,Robert De Niro,Biography,United States,Others,0,1,a high-budget success
Superman II,PG,6.8,101000.0,54000000.0,108185706.0,127.0,11.52288569676448,78.35562273799847,long,Others,Others,Others,Action,United States,Others,1,1,a high-budget success
The Long Riders,R,7.0,10000.0,10000000.0,15795189.0,100.0,9.210440366976515,64.47308256883562,normal,Others,Others,Others,Biography,United States,Others,0,0,a low-budget failure
Any Which Way You Can,PG,6.1,18000.0,15000000.0,70687344.0,116.0,9.798182590890704,59.76891380443329,normal,Others,Others,Clint Eastwood,Action,United States,Others,1,2,a low-budget failure
The Gods Must Be Crazy,PG,7.3,54000.0,5000000.0,30031783.0,109.0,10.896757843893464,79.54633226042229,normal,Others,Others,Others,Adventure,Others,Others,1,0,a low-budget failure
Popeye,PG,5.3,30000.0,20000000.0,49823037.0,114.0,10.308985993422082,54.63762576513703,normal,Others,Others,Robin Williams,Adventure,United States,Paramount Pictures,1,2,a low-budget failure
Ordinary People,R,7.7,49000.0,6000000.0,54766923.0,124.0,10.799595985047786,83.15688908486796,long,Others,Others,Others,Drama,United States,Paramount Pictures,1,0,a low-budget failure
Dressed to Kill,R,7.1,37000.0,6500000.0,31899000.0,104.0,10.518700218288163,74.68277154984597,normal,Others,Others,Others,Crime,United States,Others,1,0,a low-budget failure
Somewhere in Time,PG,7.2,27000.0,5100000.0,9709597.0,103.0,10.203629181337648,73.46613010563107,normal,Others,Others,Others,Drama,United States,Others,0,0,a low-budget failure
9 to 5,PG,6.9,29000.0,10000000.0,103300686.0,109.0,10.275085591132717,70.89809057881574,normal,Others,Others,Others,Comedy,United States,Others,1,0,a low-budget failure
The Fog,R,6.8,66000.0,1000000.0,21448782.0,89.0,11.097425172408933,75.46249117238072,short,Others,Others,Others,Horror,United States,Others,1,0,a low-budget failure
Cruising,R,6.5,20000.0,11000000.0,19814523.0,102.0,9.90353755128617,64.37299408336011,normal,Others,Others,Others,Crime,Others,Others,0,0,a low-budget failure
Heaven's Gate,R,6.8,14000.0,44000000.0,3484523.0,219.0,9.546884034617923,64.91881143540189,long,Others,Others,Others,Adventure,United States,Others,0,1,a high-budget success
The Final Countdown,PG,6.7,22000.0,12000000.0,16647800.0,103.0,9.99884318585288,66.9922493452143,normal,Others,Others,Others,Action,United States,Others,0,0,a low-budget failure
Xanadu,PG,5.3,12000.0,20000000.0,22762571.0,96.0,9.39274525863144,49.78154987074664,normal,Others,Others,Others,Fantasy,United States,Universal Pictures,0,2,a low-budget failure
